"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\soumy\Documents\Heroku\stockex-web\.idea\dictionaries\soumy.xml", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\soumy\Documents\Heroku\stockex-web\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\soumy\Documents\Heroku\stockex-web\.idea\jsLibraryMappings.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\soumy\Documents\Heroku\stockex-web\.idea\misc.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\soumy\Documents\Heroku\stockex-web\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\soumy\Documents\Heroku\stockex-web\.idea\stockex-web.iml", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 12
"c:\Users\soumy\Documents\Heroku\stockex-web\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\soumy\Documents\Heroku\stockex-web\client\README.md", "Markdown", 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\soumy\Documents\Heroku\stockex-web\client\babel.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\soumy\Documents\Heroku\stockex-web\client\package-lock.json", "JSON", 12782, 0, 0, 0, 0, 0, 0, 1, 12783
"c:\Users\soumy\Documents\Heroku\stockex-web\client\package.json", "JSON", 57, 0, 0, 0, 0, 0, 0, 1, 58
"c:\Users\soumy\Documents\Heroku\stockex-web\client\public\index.html", "HTML", 0, 0, 0, 0, 18, 0, 1, 1, 20
"c:\Users\soumy\Documents\Heroku\stockex-web\client\src\assets\FusionCharts.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\soumy\Documents\Heroku\stockex-web\client\src\assets\calendar.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\soumy\Documents\Heroku\stockex-web\client\src\assets\location.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\soumy\Documents\Heroku\stockex-web\client\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\soumy\Documents\Heroku\stockex-web\client\src\assets\winddirection.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\soumy\Documents\Heroku\stockex-web\client\src\assets\windspeed.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\soumy\Documents\Heroku\stockex-web\client\src\database\FirebaseConfig.js", "JavaScript", 0, 24, 0, 0, 0, 0, 1, 6, 31
"c:\Users\soumy\Documents\Heroku\stockex-web\client\src\database\GetService.js", "JavaScript", 0, 28, 0, 0, 0, 0, 3, 8, 39
"c:\Users\soumy\Documents\Heroku\stockex-web\client\src\main.js", "JavaScript", 0, 25, 0, 0, 0, 0, 5, 7, 37
"c:\Users\soumy\Documents\Heroku\stockex-web\client\src\plugins\vuetify.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\soumy\Documents\Heroku\stockex-web\client\src\router\router.js", "JavaScript", 0, 35, 0, 0, 0, 0, 1, 6, 42
"c:\Users\soumy\Documents\Heroku\stockex-web\client\src\store\store.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 4, 44
"c:\Users\soumy\Documents\Heroku\stockex-web\client\vue.config.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\soumy\Documents\Heroku\stockex-web\package-lock.json", "JSON", 505, 0, 0, 0, 0, 0, 0, 1, 506
"c:\Users\soumy\Documents\Heroku\stockex-web\package.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\soumy\Documents\Heroku\stockex-web\server\index.js", "JavaScript", 0, 14, 0, 0, 0, 0, 4, 11, 29
"c:\Users\soumy\Documents\Heroku\stockex-web\server\package-lock.json", "JSON", 505, 0, 0, 0, 0, 0, 0, 1, 506
"c:\Users\soumy\Documents\Heroku\stockex-web\server\package.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\soumy\Documents\Heroku\stockex-web\server\public\css\app.47d99304.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\soumy\Documents\Heroku\stockex-web\server\public\css\chunk-vendors.4e67f1e1.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\soumy\Documents\Heroku\stockex-web\server\public\index.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\soumy\Documents\Heroku\stockex-web\server\public\js\app.e11b089c.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1, 0, 2
"c:\Users\soumy\Documents\Heroku\stockex-web\server\public\js\chunk-vendors.499ffc05.js", "JavaScript", 0, 1645, 0, 0, 0, 0, 1167, 0, 2812
"c:\Users\soumy\Documents\Heroku\stockex-web\server\routes\api\gets.js", "JavaScript", 0, 15, 0, 0, 0, 0, 2, 7, 24
"Total", "-", 13888, 1851, 19, 2, 19, 55, 1185, 73, 17092
